"Route","Signal","WordPress value","Astro production value","Match status","Difference type","Action","Reason"
"/servis-aircond-murah-kl/","Main headings","","H1:Servis Aircond Murah KL | H2:Pakar Servis Aircond Murah KL | H2:Kenapa Pilih Kami untuk Servis Aircond Murah KL? | H3:Senarai Harga Servis Aircond Murah KL (2026) | H3:Senarai Harga Servis Aircond Murah KL (2026) | H3:Harga Bajet, Kualiti Premium | H3:Pakej Servis Aircond Murah KL Kami | H3:1. Temujanji & Diagnosis Awal | H3:2. Perlindungan Ruang & Cucian | H3:3. Pemeriksaan Tekanan Gas (PSI) | H3:Sebut Harga Servis Aircond KL | H2:Perkhidmatan Penyaman Udara Menyeluruh | H3:General Service | H3:Chemical Wash Overhaul | H3:Isi & Top-up Gas | H3:Repair & Troubleshoot | H3:Buka & Pasang Aircond | H3:Servis Kontrak Pejabat | H2:Soalan Lazim Mengenai Servis Aircond Murah KL | H2:Ready to Work Together?","INTENTIONAL_CORRECTION","BROKEN_SOURCE_IMAGE_REPLACED","PRESERVE_APPROVED_ASTRO","Both current WordPress article photographs fail to load; approved owner aircond media remains substituted"
"/servis-aircond-murah-kl/","Open Graph description","Harga Bajet Pantas Dipercayai Pakar Servis Aircond Murah KL Aircond kurang sejuk atau bocor air? RK Reno Solution menawarkan Servis Aircond Murah KL yang pantas dan berkualiti. Kami pakar cucian kimia (chemical wash), tambah gas, dan baik pulih untuk rumah dan pejabat anda. WhatsApp Sekarang Email Sebut Harga RM 60+ Harga Bermula Pantass Masa Respons","Aircond kurang sejuk, berbau atau bocor air? Dapatkan pemeriksaan, pembersihan dan cadangan servis untuk rumah atau pejabat di Kuala Lumpur.","INTENTIONAL_CORRECTION","BROKEN_SOURCE_IMAGE_REPLACED","PRESERVE_APPROVED_ASTRO","Both current WordPress article photographs fail to load; approved owner aircond media remains substituted"
"/servis-aircond-murah-kl/","Open Graph image","https://rkrenosolution.com/wp-content/uploads/2026/03/RK-Reno-Solutions-Logo.png","https://rkrenosolution.com/assets/media/RK-Reno-Solutions-Logo-942f64bb.png","INTENTIONAL_CORRECTION","BROKEN_SOURCE_IMAGE_REPLACED","PRESERVE_APPROVED_ASTRO","Both current WordPress article photographs fail to load; approved owner aircond media remains substituted"
"/servis-aircond-murah-kl/","Schema types","BreadcrumbList | Organization | WebPage | WebSite | HVACBusiness","Service | FAQPage","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/servis-aircond-murah-kl/","Published date","2026-03-28T10:23:14+00:00","","INTENTIONAL_CORRECTION","BROKEN_SOURCE_IMAGE_REPLACED","PRESERVE_APPROVED_ASTRO","Both current WordPress article photographs fail to load; approved owner aircond media remains substituted"
"/servis-aircond-murah-kl/","Modified date","2026-04-04T13:42:53+00:00","","INTENTIONAL_CORRECTION","BROKEN_SOURCE_IMAGE_REPLACED","PRESERVE_APPROVED_ASTRO","Both current WordPress article photographs fail to load; approved owner aircond media remains substituted"
"/servis-aircond-murah-kl/","Sitemap presence","FALSE","TRUE","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/servis-aircond-murah-kl/","Important internal links","","/ | /contact-us/","INTENTIONAL_CORRECTION","BROKEN_SOURCE_IMAGE_REPLACED","PRESERVE_APPROVED_ASTRO","Both current WordPress article photographs fail to load; approved owner aircond media remains substituted"
"/servis-aircond-murah-kl/","Main visible content","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","23a29d19fd38bd06ae2592ca62d3f89a906154f6b4d90dade7060406b62c38fc","INTENTIONAL_CORRECTION","BROKEN_SOURCE_IMAGE_REPLACED","PRESERVE_APPROVED_ASTRO","Both current WordPress article photographs fail to load; approved owner aircond media remains substituted"
"/servis-aircond-murah-kl/","Image references","","/assets/media/owner/rk-reno-aircond-indoor-unit-service-access-960.webp | /assets/media/home7-img7-f8f5cbc2.webp","INTENTIONAL_CORRECTION","BROKEN_SOURCE_IMAGE_REPLACED","PRESERVE_APPROVED_ASTRO","Both current WordPress article photographs fail to load; approved owner aircond media remains substituted"
"/aircond-installation-kl/","SEO title","Aircond Installation KL | Upah Pasang Aircond RM220","Aircond Installation KL - RK Reno Solution","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/aircond-installation-kl/","Meta description","Aircond installation KL for homes, condos, offices and shops. Base price from RM220 including 5 feet copper pipe and wiring. WhatsApp for a quote.","Installation for wall-mounted aircond units in Kuala Lumpur homes, condominiums, offices and shops, with the scope confirmed from the unit and site requirements.","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/aircond-installation-kl/","Robots","max-image-preview:large","index, follow","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/aircond-installation-kl/","H1","","Aircond Installation KL","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/aircond-installation-kl/","Main headings","","H1:Aircond Installation KL | H2:Professional Aircond Installation KL for Homes, Condos, Offices & Shops | H2:Aircond Installation Services in Kuala Lumpur | H3:New Aircond Installation | H3:Replace an Old Unit | H3:Aircond Relocation | H3:Copper Pipe & Drainage | H3:Additional Wiring | H3:Vacuum & Testing | H2:What Can Increase the Installation Cost? | H3:Get a More Accurate Quote | H2:Aircond Installation KL Prices | H3:1.0HP & 1.5HP Wall-Mounted | H3:2.0HP & 2.5HP Wall-Mounted | H2:RK Reno Aircond Installation Work | H2:How the Aircond Installation Process Works | H3:Review the Site | H3:Confirm Scope & Price | H3:Install & Connect | H3:Vacuum & Test | H2:Aircond Installation Across Kuala Lumpur | H3:Need a detailed installation guide? | H3:Need installation in Selangor? | H3:Need Aircond Servicing? | H3:Need a New Electrical Point? | H2:Aircond Installation KL FAQs | H2:Get an Aircond Installation KL Quote | H2:Ready to Work Together?","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/aircond-installation-kl/","Open Graph title","Aircond Installation KL | Upah Pasang Aircond RM220","Aircond Installation KL - RK Reno Solution","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/aircond-installation-kl/","Open Graph description","Aircond installation KL for homes, condos, offices and shops. Base price from RM220 including 5 feet copper pipe and wiring. WhatsApp for a quote.","Installation for wall-mounted aircond units in Kuala Lumpur homes, condominiums, offices and shops, with the scope confirmed from the unit and site requirements.","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/aircond-installation-kl/","Open Graph image","https://rkrenosolution.com/wp-content/uploads/2026/03/RK-Reno-Solutions-Logo.png","https://rkrenosolution.com/assets/media/RK-Reno-Solutions-Logo-942f64bb.png","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/aircond-installation-kl/","Schema types","BreadcrumbList | Organization | WebPage | WebSite","Service | FAQPage","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/aircond-installation-kl/","Published date","2026-03-28T10:07:44+00:00","","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/aircond-installation-kl/","Modified date","2026-07-17T13:03:28+00:00","","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/aircond-installation-kl/","Sitemap presence","FALSE","TRUE","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/aircond-installation-kl/","Important internal links","","/ | /contact-us/","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/aircond-installation-kl/","Main visible content","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","2e80003895950bbcfc165eaa1caae68bd0d1d64801e3d1736517d974895aeb7b","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/aircond-installation-kl/","Image references","","/assets/media/721430356-1623451745783563-6720154604310865920-n-b6c68602.jpg | /assets/media/owner/rk-reno-wall-mounted-aircond-unit-960.webp | /assets/media/owner/rk-reno-aircond-unit-trunking-960.webp | /assets/media/owner/rk-reno-aircond-outdoor-condenser-720.webp | /assets/media/home7-img7-f8f5cbc2.webp","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor/","Meta description","Servis aircond installation Selangor untuk rumah, pejabat dan kedai. Semak anggaran harga, proses pemasangan dan dapatkan quotation melalui WhatsApp.","Servis pemasangan aircond untuk rumah, pejabat dan kedai di Selangor, berdasarkan kapasiti unit, jarak paip, saliran, bekalan elektrik dan keadaan tapak.","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor/","Robots","max-image-preview:large","index, follow","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/upah-pasang-aircond-selangor/","H1","","Upah Pasang Aircond Selangor untuk Rumah, Pejabat & Kedai","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor/","Main headings","","H1:Upah Pasang Aircond Selangor untuk Rumah, Pejabat & Kedai | H2:Upah Pasang Aircond Selangor untuk Rumah, Pejabat & Kedai | H2:Servis Aircond Installation Selangor | H3:Pemasangan Unit Baru | H3:Ganti Unit Lama | H3:Pindah Aircond | H3:Copper Pipe & Drainage | H3:Wiring Tambahan | H3:Vacuum & Testing | H2:Apa Yang Boleh Menambah Kos? | H3:Dapatkan Anggaran Lebih Tepat | H2:Harga Upah Pasang Aircond Selangor | H3:1.0HP & 1.5HP Wall-Mounted | H3:2.0HP & 2.5HP Wall-Mounted | H2:Contoh Kerja Aircond RK Reno | H2:Proses Pemasangan Aircond | H3:Semak Tapak | H3:Sahkan Skop & Harga | H3:Pasang & Sambung | H3:Vacuum & Test | H2:Aircond Installation di Selangor & Lembah Klang | H3:Perlukan panduan harga yang lebih lengkap? | H3:Mencari servis khusus di Kuala Lumpur? | H2:FAQ Aircond Installation Selangor | H2:Dapatkan Quotation Aircond Installation Selangor | H2:Ready to Work Together?","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor/","Open Graph description","Servis aircond installation Selangor untuk rumah, pejabat dan kedai. Semak anggaran harga, proses pemasangan dan dapatkan quotation melalui WhatsApp.","Servis pemasangan aircond untuk rumah, pejabat dan kedai di Selangor, berdasarkan kapasiti unit, jarak paip, saliran, bekalan elektrik dan keadaan tapak.","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor/","Open Graph image","https://rkrenosolution.com/wp-content/uploads/2026/03/RK-Reno-Solutions-Logo.png","https://rkrenosolution.com/assets/media/RK-Reno-Solutions-Logo-942f64bb.png","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor/","Schema types","BreadcrumbList | Organization | WebPage | WebSite","Service | FAQPage","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/upah-pasang-aircond-selangor/","Published date","2026-03-28T10:25:46+00:00","","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor/","Modified date","2026-07-15T20:13:14+00:00","","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor/","Sitemap presence","FALSE","TRUE","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/upah-pasang-aircond-selangor/","Important internal links","","/ | /contact-us/","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor/","Main visible content","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","06ecf74a16af929053d8e919fff55d0adcce8b45cd59eca834afc0b6c163771e","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor/","Image references","","/assets/media/721430356-1623451745783563-6720154604310865920-n-b6c68602.jpg | /assets/media/owner/rk-reno-wall-mounted-aircond-unit-960.webp | /assets/media/owner/rk-reno-aircond-unit-trunking-960.webp | /assets/media/owner/rk-reno-aircond-outdoor-condenser-720.webp | /assets/media/home7-img7-f8f5cbc2.webp","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Meta description","Semak upah pasang aircond Selangor 2026 untuk rumah, pejabat dan kedai. Lihat anggaran harga, pakej pemasangan, caj tambahan dan WhatsApp RK Reno untuk sebut harga.","Panduan memahami faktor harga, skop standard, bahan, akses dan pengesahan tapak untuk pemasangan aircond di Selangor.","INTENTIONAL_CORRECTION","BROKEN_SOURCE_IMAGE_REPLACED","PRESERVE_APPROVED_ASTRO","Several exact source images remain unavailable; approved owner aircond imagery is retained"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Robots","max-image-preview:large","index, follow","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","H1","Upah Pasang Aircond Selangor: Panduan Harga & Pemasangan (2026)","Upah Pasang Aircond Selangor: Panduan Harga &amp; Pemasangan (2026)","INTENTIONAL_CORRECTION","BROKEN_SOURCE_IMAGE_REPLACED","PRESERVE_APPROVED_ASTRO","Several exact source images remain unavailable; approved owner aircond imagery is retained"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Main headings","H1:Upah Pasang Aircond Selangor: Panduan Harga & Pemasangan (2026) | H3:Nak semak harga untuk lokasi anda? | H2:1. Apa Yang Termasuk Dalam Harga Asas? | H2:2. Gambar Kerja Pemasangan Aircond RK Reno | H2:3. Copper Pipe & Kualiti Material | H2:4. Inverter vs Non-Inverter: Ada Beza Pemasangan? | H3:Sudah Beli Aircond dan Cari Orang Pasang? | H2:5. Harga Upah Pasang Aircond Selangor 2026 | H3:1.0HP & 1.5HP Wall-Mounted | H3:2.0HP & 2.5HP Wall-Mounted | H2:6. Faktor Yang Boleh Menambah Kos Pemasangan | H2:7. Proses Pemasangan Aircond | H3:Semak Lokasi | H3:Sahkan Skop & Harga | H3:Pasang Unit | H3:Sambung Copper Pipe | H3:Vacuum Sistem | H3:Testing | H2:8. Cara Dapatkan Quotation Dengan Cepat | H2:9. Jenis Tempat Yang Sesuai | H2:10. Kawasan Servis Pemasangan Aircond Di Selangor | H2:11. Kenapa Proses Vacuum Penting? | H2:12. Kenapa Pilih RK Reno Solution? | H3:Dapatkan Quotation Aircond Melalui WhatsApp | H2:13. Soalan Lazim Tentang Upah Pasang Aircond Selangor | H3:Leave A Comment Cancel Comment","H1:Upah Pasang Aircond Selangor: Panduan Harga &amp; Pemasangan (2026) | H2:Upah Pasang Aircond Selangor: Panduan Harga & Pemasangan (2026) | H3:Nak semak harga untuk lokasi anda? | H2:1. Apa Yang Termasuk Dalam Harga Asas? | H2:2. Gambar Kerja Pemasangan Aircond RK Reno | H2:3. Copper Pipe & Kualiti Material | H2:4. Inverter vs Non-Inverter: Ada Beza Pemasangan? | H3:Sudah Beli Aircond dan Cari Orang Pasang? | H2:5. Harga Upah Pasang Aircond Selangor 2026 | H3:1.0HP & 1.5HP Wall-Mounted | H3:2.0HP & 2.5HP Wall-Mounted | H2:6. Faktor Yang Boleh Menambah Kos Pemasangan | H2:7. Proses Pemasangan Aircond | H3:Semak Lokasi | H3:Sahkan Skop & Harga | H3:Pasang Unit | H3:Sambung Copper Pipe | H3:Vacuum Sistem | H3:Testing | H2:8. Cara Dapatkan Quotation Dengan Cepat | H2:9. Jenis Tempat Yang Sesuai | H2:10. Kawasan Servis Pemasangan Aircond Di Selangor | H2:11. Kenapa Proses Vacuum Penting? | H2:12. Kenapa Pilih RK Reno Solution? | H3:Dapatkan Quotation Aircond Melalui WhatsApp | H2:13. Soalan Lazim Tentang Upah Pasang Aircond Selangor | H2:Request a clear scope and quotation | H2:Related service | H2:Recent guides | H2:Search","INTENTIONAL_CORRECTION","BROKEN_SOURCE_IMAGE_REPLACED","PRESERVE_APPROVED_ASTRO","Several exact source images remain unavailable; approved owner aircond imagery is retained"
